                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4619,                 4.1387,                  2.263,                0.00032,                0.00019,                0.00017,                  3e-05,                 3.2727,                 4.0477,                 1.7809,                 0.0928,                 0.0008,                 0.0008
                      1,                 2.9272,                 3.7773,                 1.7582,                0.01123,                0.00715,                0.00574,                0.00239,                 2.8605,                 3.4502,                 1.2996,               0.084698,              0.0016983,              0.0016983
                      2,                  2.535,                 2.5307,                 1.4322,                0.05085,                 0.0892,                0.05609,                0.02021,                 2.8902,                 2.4545,                 1.3942,               0.076595,              0.0025949,              0.0025949
                      3,                 2.4213,                 1.8653,                 1.4247,                0.06974,                0.12234,                0.08938,                0.03454,                 2.5116,                 2.1023,                 1.3218,                0.06849,              0.0034896,              0.0034896
                      4,                 2.3846,                 1.5911,                 1.3726,                0.08174,                0.13868,                0.10825,                0.03992,                 2.6168,                 2.0097,                 1.2894,               0.060383,              0.0043826,              0.0043826
                      5,                 2.3669,                 1.5448,                 1.3583,                0.08402,                0.14741,                0.11066,                0.03972,                 2.5834,                 2.0745,                 1.2413,               0.052274,              0.0052738,              0.0052738
                      6,                 2.2728,                 1.5059,                 1.3203,                0.10084,                0.14286,                0.11527,                0.04288,                 2.5529,                 1.9389,                 1.3108,               0.044163,              0.0061632,              0.0061632
                      7,                 2.3107,                 1.4646,                 1.3149,                0.12917,                0.13636,                0.11309,                0.03942,                 2.6687,                  1.826,                 1.3436,               0.036051,              0.0070508,              0.0070508
                      8,                 2.3242,                 1.4662,                  1.339,                0.77932,                0.17182,                0.13332,                0.05115,                  2.372,                 1.9048,                 1.1807,               0.027937,              0.0079366,              0.0079366
                      9,                 2.2119,                 1.4848,                 1.3498,                0.48633,                 0.1488,                0.13217,                0.05164,                 2.5232,                 1.7083,                 1.3037,               0.019821,              0.0088207,              0.0088207
                     10,                 2.1967,                 1.4157,                 1.3113,                0.46973,                0.16281,                0.15164,                0.06117,                  2.359,                 1.7318,                 1.1775,               0.011703,               0.009703,               0.009703
                     11,                 2.2528,                 1.4704,                 1.3295,                0.16305,                 0.1828,                0.16925,                0.06574,                 2.3935,                 1.7373,                 1.2154,              0.0098911,              0.0098911,              0.0098911
                     12,                 2.2489,                 1.4405,                 1.2999,                0.74427,                0.12644,                0.12693,                0.04832,                 2.4724,                 1.6038,                 1.2819,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.1946,                 1.3923,                 1.2728,                0.54937,                0.17248,                0.16817,                0.07046,                 2.2219,                 1.5314,                  1.151,              0.0098812,              0.0098812,              0.0098812
                     14,                  2.243,                 1.3814,                 1.2517,                0.50277,                0.14666,                0.18674,                0.06686,                 2.4407,                 1.5074,                 1.1872,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.0986,                 1.3567,                 1.2663,                0.50381,                0.17173,                0.20255,                0.09129,                 2.2673,                 1.4798,                 1.1371,              0.0098614,              0.0098614,              0.0098614
                     16,                  2.145,                 1.3095,                 1.2305,                0.50026,                0.16091,                0.14305,                0.05309,                 2.4456,                 1.6192,                 1.1746,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.1361,                 1.3315,                 1.2438,                0.40507,                0.17695,                0.19588,                 0.0785,                 2.2804,                 1.5946,                 1.1669,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.1391,                 1.2478,                 1.2063,                0.64044,                0.21204,                0.22594,                0.09605,                 2.1755,                 1.3282,                 1.1367,              0.0098317,              0.0098317,              0.0098317
                     19,                  2.058,                 1.2762,                 1.2252,                0.65456,                0.23917,                0.21941,                0.08202,                  2.388,                 1.3729,                  1.194,              0.0098218,              0.0098218,              0.0098218
                     20,                 2.0562,                 1.2596,                  1.213,                0.64446,                0.24727,                0.23539,                 0.1008,                 2.1722,                 1.2911,                 1.1546,              0.0098119,              0.0098119,              0.0098119
                     21,                 2.0125,                 1.2273,                 1.2111,                0.70087,                0.25033,                0.24468,                0.09308,                 2.4565,                 1.2723,                 1.2613,               0.009802,               0.009802,               0.009802
                     22,                 2.0848,                 1.2441,                 1.1994,                0.64758,                0.25383,                 0.2387,                0.09329,                 2.3984,                 1.2616,                 1.2345,              0.0097921,              0.0097921,              0.0097921
                     23,                 2.0749,                 1.2509,                  1.203,                 0.6461,                0.26596,                0.24349,                 0.0929,                 2.3087,                 1.2934,                   1.19,              0.0097822,              0.0097822,              0.0097822
                     24,                  2.041,                 1.2218,                 1.1927,                0.71396,                  0.266,                0.25202,                0.10458,                 2.1924,                 1.2387,                 1.1563,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.9716,                 1.1891,                  1.186,                0.64266,                0.24768,                0.22966,                0.09027,                 2.2705,                 1.4235,                 1.1454,              0.0097624,              0.0097624,              0.0097624
                     26,                  2.009,                 1.2095,                 1.1953,                 0.6904,                0.27567,                0.25593,                0.10652,                 2.1136,                 1.2682,                 1.1263,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.9958,                 1.1733,                 1.1744,                0.28689,                0.28002,                0.24096,                0.10305,                 2.0695,                 1.2953,                 1.1099,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.9749,                 1.1978,                  1.188,                0.64869,                0.30949,                0.27338,                0.12322,                 2.0511,                 1.2262,                 1.1134,              0.0097327,              0.0097327,              0.0097327
                     29,                  1.968,                 1.1662,                 1.1724,                0.33746,                0.28516,                0.27143,                 0.1047,                 2.2315,                 1.2754,                  1.131,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.9995,                 1.1692,                  1.165,                0.69484,                0.28185,                0.26618,                0.11459,                 2.0156,                 1.2546,                 1.0856,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.9778,                 1.1621,                 1.1787,                 0.6681,                0.32097,                0.29322,                0.12011,                 2.1503,                 1.2084,                 1.1079,               0.009703,               0.009703,               0.009703
                     32,                 1.9968,                 1.1837,                 1.1632,                0.32441,                0.29306,                 0.2744,                0.11631,                 2.1094,                 1.3502,                  1.095,              0.0096931,              0.0096931,              0.0096931
                     33,                 2.0129,                 1.1481,                 1.1298,                0.35133,                0.31341,                 0.2948,                0.11643,                 2.1173,                 1.2525,                 1.0945,              0.0096832,              0.0096832,              0.0096832
                     34,                  1.952,                 1.1596,                 1.1617,                 0.6652,                0.32892,                0.29389,                0.11996,                 2.1569,                 1.2308,                 1.1062,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.9385,                 1.1459,                  1.157,                0.72042,                0.30027,                0.29987,                0.12951,                 2.0511,                 1.1694,                  1.097,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.9547,                  1.136,                  1.158,                0.36385,                0.31143,                0.31123,                0.12834,                 2.1153,                 1.1873,                 1.0956,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.9437,                 1.1394,                 1.1513,                0.69327,                0.31675,                0.30229,                 0.1327,                 2.0152,                  1.117,                 1.1078,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.9805,                 1.1264,                  1.154,                0.68629,                0.32371,                0.30307,                0.13347,                 1.9971,                 1.1529,                 1.0701,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.9108,                  1.139,                 1.1516,                0.66596,                0.30131,                0.28232,                0.11723,                 2.1434,                 1.2172,                 1.1223,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.9391,                 1.1368,                 1.1454,                0.71028,                0.29815,                0.30596,                0.13835,                 1.9361,                  1.099,                 1.0827,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.9037,                 1.1271,                 1.1508,                0.67132,                0.29719,                0.30192,                0.12611,                 2.1082,                  1.181,                 1.1201,               0.009604,               0.009604,               0.009604
                     42,                  1.896,                 1.1302,                 1.1367,                0.71841,                0.30482,                0.32791,                0.14753,                 1.9297,                 1.0968,                 1.0777,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.9484,                 1.1261,                 1.1351,                0.68979,                0.33576,                0.33548,                0.13733,                 2.0928,                 1.1727,                 1.1046,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.8721,                 1.1376,                   1.15,                0.69545,                0.31332,                0.32488,                0.13038,                 2.1494,                 1.1576,                 1.1225,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.9228,                  1.144,                 1.1495,                0.71224,                0.29491,                0.31562,                0.13615,                 2.0545,                 1.1372,                 1.1074,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.9337,                 1.1259,                 1.1347,                0.68078,                0.34038,                0.35039,                0.14143,                 2.0705,                 1.1696,                 1.0987,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.8916,                 1.1078,                 1.1407,                  0.672,                 0.3365,                0.33665,                0.14954,                 1.9481,                  1.154,                 1.0636,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.9141,                 1.1008,                 1.1247,                0.66386,                 0.3351,                0.32763,                0.13294,                 2.1616,                 1.1985,                 1.0973,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.8561,                 1.0769,                 1.1339,                0.67584,                0.32446,                0.30963,                0.14079,                 1.9949,                 1.1679,                 1.0736,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.8462,                 1.0985,                 1.1485,                0.72855,                0.31842,                0.35268,                0.15471,                 2.0321,                 1.1185,                 1.0736,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.8874,                 1.0819,                 1.1332,                0.70231,                0.34331,                0.34579,                 0.1527,                 1.9757,                  1.124,                 1.0634,               0.009505,               0.009505,               0.009505
                     52,                  1.855,                 1.0631,                 1.1219,                0.78001,                0.32516,                0.36596,                0.16395,                 1.9678,                 1.1095,                 1.0605,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.8647,                 1.1255,                 1.1346,                0.49801,                0.34267,                0.35006,                0.15051,                 2.0298,                 1.1084,                 1.0864,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.8439,                 1.0644,                 1.1148,                0.54013,                0.37504,                0.35909,                0.16189,                 2.0129,                 1.1079,                 1.0789,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.8795,                 1.0749,                 1.1259,                0.61123,                0.35189,                0.36576,                0.16587,                 1.9258,                 1.0996,                 1.0557,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.8342,                 1.0648,                  1.111,                0.52652,                 0.3654,                0.35008,                0.14368,                 2.1054,                  1.176,                 1.1027,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.7896,                 1.0548,                 1.1142,                0.47149,                0.38782,                0.37837,                0.16978,                 1.9538,                 1.0772,                  1.071,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.8698,                 1.0531,                 1.1091,                0.45807,                0.39872,                0.36957,                0.16549,                 1.9425,                 1.0805,                 1.0665,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.8928,                 1.0418,                 1.0992,                0.46002,                0.37507,                0.36232,                 0.1531,                 2.0586,                 1.0933,                 1.0869,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.8902,                  1.051,                 1.1052,                0.49525,                0.35173,                0.35438,                0.16604,                 1.8909,                 1.0507,                 1.0714,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.8652,                 1.0333,                 1.1056,                0.47374,                0.35893,                0.36279,                0.15585,                 2.0157,                 1.0841,                 1.0801,               0.009406,               0.009406,               0.009406
                     62,                 1.8204,                 1.0312,                 1.1134,                0.49421,                0.36021,                 0.3571,                0.16073,                 1.9363,                 1.0629,                 1.0708,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.8331,                 1.0417,                 1.1099,                0.47688,                0.31715,                0.31127,                0.13821,                 2.0268,                 1.1234,                 1.1056,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.8413,                 1.0404,                 1.1043,                0.44409,                0.37315,                0.35264,                0.15907,                 1.9493,                 1.0868,                 1.0696,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.8382,                  1.037,                 1.1026,                0.48578,                0.35197,                0.35485,                0.15998,                 1.9932,                 1.0877,                 1.0823,              0.0093664,              0.0093664,              0.0093664
                     66,                  1.787,                 1.1232,                 1.1334,                0.40441,                0.37748,                0.34544,                0.15583,                 2.0049,                 1.0791,                 1.0901,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.8023,                 1.0483,                 1.1152,                0.49481,                 0.3404,                0.35997,                0.15562,                 1.9673,                 1.0885,                 1.0853,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.7999,                 1.0221,                 1.1012,                0.55188,                 0.3388,                0.37278,                0.16581,                 1.9644,                 1.0744,                 1.0599,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.7912,                 1.0458,                 1.1072,                0.47579,                0.37657,                0.36189,                0.15963,                 2.0194,                 1.0809,                 1.0951,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.8419,                 1.0408,                 1.1061,                0.47191,                 0.3792,                0.37656,                0.16549,                 1.9522,                 1.0655,                 1.0679,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.7933,                 1.0289,                 1.0913,                0.45012,                0.37713,                0.38014,                0.16909,                 1.9124,                 1.0668,                 1.0611,               0.009307,               0.009307,               0.009307
                     72,                 1.7817,                 1.0604,                 1.0958,                0.46966,                0.40661,                0.39298,                 0.1777,                 1.9239,                 1.1056,                 1.0624,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.8583,                 1.0231,                 1.0834,                0.55855,                0.37258,                0.38053,                0.18195,                 1.8829,                 1.0718,                 1.0577,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.7853,                 1.0193,                 1.0928,                0.52925,                 0.3806,                 0.3814,                0.16434,                 2.0179,                 1.0755,                   1.08,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.8405,                 1.0451,                 1.1014,                0.58022,                0.37045,                0.40792,                0.19862,                 1.8544,                 1.0504,                 1.0527,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.7566,                 1.0123,                 1.0979,                0.48027,                  0.373,                0.37163,                0.16946,                 1.9446,                 1.0787,                 1.0754,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.7884,                 1.0201,                 1.1062,                0.53204,                0.35826,                 0.3894,                0.17311,                 1.9954,                 1.1168,                 1.0676,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.7695,                  1.003,                 1.0962,                0.51366,                0.37224,                0.38665,                0.17292,                 1.9809,                 1.0644,                 1.0729,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.7915,                 1.0013,                 1.0877,                0.44455,                0.40353,                0.35736,                0.15889,                 1.8927,                 1.0726,                 1.0613,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.7686,                 1.0059,                 1.1083,                0.40157,                0.42316,                0.39799,                0.17568,                  1.972,                 1.0735,                 1.0671,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.7769,                 1.0065,                 1.0907,                0.47553,                 0.3926,                 0.3888,                0.18118,                 1.8647,                 1.0614,                 1.0522,               0.009208,               0.009208,               0.009208
                     82,                 1.8221,                 1.0198,                 1.0996,                0.45995,                0.39075,                0.37787,                0.16354,                 1.9647,                 1.0696,                 1.0777,              0.0091981,              0.0091981,              0.0091981
                     83,                  1.814,                 1.0002,                  1.087,                0.50538,                0.37742,                0.38559,                0.18375,                 1.8674,                 1.0476,                 1.0579,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.7809,                0.99745,                 1.0875,                0.49739,                0.38529,                 0.3898,                0.16982,                 2.0089,                    1.1,                 1.0644,              0.0091783,              0.0091783,              0.0091783
