                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  5.994,                 4.1836,                 4.1164,                0.00098,                0.00111,                0.00049,                0.00013,                 6.1556,                 4.1699,                 3.8078,                 0.0856,                 0.0016,                 0.0016
                      1,                 5.6088,                 3.3246,                 3.6109,                0.00106,                0.00186,                0.00056,                0.00019,                 5.6185,                 4.1518,                 3.2978,               0.070267,              0.0032673,              0.0032673
                      2,                 4.9573,                 2.8989,                 3.2243,                0.00132,                0.00232,                0.00233,                0.00091,                  5.202,                 4.0826,                 3.0566,               0.054901,               0.004901,               0.004901
                      3,                 4.6336,                 2.6222,                  2.848,                0.00143,                0.00251,                0.00238,                0.00042,                 5.0916,                 3.9298,                 3.0029,               0.039501,               0.006501,               0.006501
                      4,                 4.4382,                 2.6062,                 2.7381,                0.00175,                0.00306,                0.00095,                0.00031,                 5.2059,                 3.8897,                  3.066,               0.024067,              0.0080674,              0.0080674
                      5,                 4.3188,                 2.3674,                 2.4995,                 0.0027,                0.00473,                0.00311,                0.00097,                 5.4298,                 3.8326,                 3.1673,               0.009505,               0.009505,               0.009505
                      6,                 4.1604,                 2.2706,                 2.3925,                0.68418,                0.01485,                  0.008,                0.00236,                  5.038,                 3.6562,                 3.0043,               0.009505,               0.009505,               0.009505
                      7,                 3.9478,                 2.1864,                 2.2411,                0.01915,                0.00938,                0.00494,                0.00149,                  5.386,                 4.1966,                  3.263,               0.009406,               0.009406,               0.009406
                      8,                 3.7472,                 2.1681,                 2.2072,                0.39174,                0.05227,                0.02751,                0.00754,                 3.7657,                 3.6463,                 2.2992,               0.009307,               0.009307,               0.009307
                      9,                 3.5801,                 2.1045,                 2.0812,                0.03629,                0.03063,                0.01618,                0.00468,                  3.714,                 18.702,                 2.3291,               0.009208,               0.009208,               0.009208
                     10,                 3.4482,                 2.0568,                 2.0546,                0.08363,                0.06906,                0.05228,                0.01538,                 3.3843,                 4.7265,                 2.0067,               0.009109,               0.009109,               0.009109
                     11,                 3.4712,                 1.9006,                 1.8858,                0.05789,                0.05913,                0.03443,                0.00988,                 4.2522,                 27.635,                 2.3679,                0.00901,                0.00901,                0.00901
                     12,                 3.3362,                 1.8821,                 1.8501,                 0.0676,                0.06582,                0.04281,                0.01156,                 3.8059,                 6.5382,                  2.012,               0.008911,               0.008911,               0.008911
                     13,                 3.2203,                 1.8115,                 1.7533,                  0.066,                0.05672,                0.03842,                0.01086,                 3.2697,                 5.6456,                 2.0561,               0.008812,               0.008812,               0.008812
                     14,                   3.19,                 1.8061,                 1.7641,                 0.7768,                0.10201,                0.08097,                0.02475,                 3.2709,                  3.834,                 1.9892,               0.008713,               0.008713,               0.008713
                     15,                 3.2147,                 1.7953,                 1.7624,                0.44971,                 0.1164,                0.08807,                0.02813,                 3.0389,                 3.8413,                 1.8132,               0.008614,               0.008614,               0.008614
                     16,                 3.1087,                 1.7827,                 1.7135,                0.09252,                0.09084,                0.06291,                0.01782,                 3.2292,                 6.6178,                 1.9141,               0.008515,               0.008515,               0.008515
                     17,                 3.0701,                 1.7246,                 1.6513,                0.11792,                0.11752,                0.09175,                0.02929,                 3.3282,                 6.5083,                 1.8037,               0.008416,               0.008416,               0.008416
                     18,                 3.0161,                 1.7144,                 1.6878,                0.46541,                0.11761,                0.09893,                0.03085,                 2.9684,                 2.9295,                 1.7041,               0.008317,               0.008317,               0.008317
                     19,                 2.9294,                 1.6565,                 1.6074,                 0.1255,                0.11687,                0.09479,                0.03039,                 2.9949,                 3.2925,                 1.8114,               0.008218,               0.008218,               0.008218
                     20,                 2.9589,                  1.692,                  1.643,                0.80722,                0.12188,                 0.1038,                0.03244,                 3.2866,                 2.8738,                 1.8984,               0.008119,               0.008119,               0.008119
                     21,                 3.0464,                 1.7508,                 1.6745,                0.78979,                0.11018,                0.09581,                0.03286,                  2.868,                 2.3747,                 1.7503,                0.00802,                0.00802,                0.00802
                     22,                 2.8289,                 1.6485,                 1.5991,                0.14948,                0.14063,                0.12213,                0.04169,                 2.6345,                 2.5927,                 1.6092,               0.007921,               0.007921,               0.007921
                     23,                 2.8211,                 1.5998,                 1.5473,                0.48803,                0.13666,                0.12472,                0.04278,                 2.7193,                 2.8138,                 1.6831,               0.007822,               0.007822,               0.007822
                     24,                  2.739,                 1.6446,                 1.6016,                 0.7944,                0.11733,                0.10185,                0.03716,                 2.7455,                 2.4356,                 1.7848,               0.007723,               0.007723,               0.007723
                     25,                 2.7369,                 1.5783,                 1.5805,                0.49059,                0.14351,                 0.1468,                0.04913,                 2.6718,                 3.0493,                 1.5864,               0.007624,               0.007624,               0.007624
                     26,                 2.7335,                 1.5561,                 1.5726,                0.50422,                0.14611,                0.14215,                0.05045,                 2.6193,                 2.5703,                 1.6092,               0.007525,               0.007525,               0.007525
                     27,                 2.7514,                 1.5496,                 1.5492,                0.49095,                0.14314,                 0.1317,                0.04786,                  2.513,                 2.3478,                 1.5881,               0.007426,               0.007426,               0.007426
                     28,                 2.6772,                 1.5332,                 1.5013,                0.49346,                0.14898,                0.13536,                0.05097,                 2.5076,                 2.9452,                  1.579,               0.007327,               0.007327,               0.007327
                     29,                 2.6781,                  1.521,                 1.5357,                 0.4982,                 0.1513,                0.14039,                0.04672,                 2.6287,                 2.4163,                 1.5954,               0.007228,               0.007228,               0.007228
                     30,                 2.6459,                  1.528,                 1.5394,                0.82746,                0.14411,                0.13728,                0.05031,                 2.5197,                 2.4255,                 1.5931,               0.007129,               0.007129,               0.007129
                     31,                 2.6336,                 1.4735,                 1.5078,                0.80901,                0.16799,                0.15206,                0.05321,                 2.6745,                 2.1603,                 1.6307,                0.00703,                0.00703,                0.00703
                     32,                 2.5996,                  1.455,                 1.4269,                 0.8192,                0.14685,                0.13352,                0.04489,                 2.7229,                 2.2408,                 1.6442,               0.006931,               0.006931,               0.006931
                     33,                 2.6036,                 1.4672,                 1.4782,                0.49923,                 0.1375,                0.13427,                0.05096,                 2.6809,                 3.7851,                 1.6849,               0.006832,               0.006832,               0.006832
                     34,                 2.6041,                 1.4876,                 1.5147,                0.52215,                0.19435,                0.16585,                0.06491,                 2.4729,                  2.154,                 1.5743,               0.006733,               0.006733,               0.006733
                     35,                 2.5486,                 1.4263,                 1.4556,                0.27119,                0.19758,                0.17921,                0.06574,                 2.5313,                 2.1559,                 1.6054,               0.006634,               0.006634,               0.006634
                     36,                 2.5887,                 1.4241,                 1.4389,                0.21821,                 0.2124,                0.18951,                0.06966,                 2.5513,                 2.3144,                 1.5866,               0.006535,               0.006535,               0.006535
                     37,                 2.5208,                 1.3983,                 1.4632,                0.65364,                0.16542,                 0.1594,                0.06027,                 2.5005,                 2.2861,                 1.6184,               0.006436,               0.006436,               0.006436
                     38,                 2.5537,                 1.4371,                 1.4651,                0.61692,                0.15976,                0.15817,                0.05326,                 2.4802,                 2.1242,                  1.529,               0.006337,               0.006337,               0.006337
                     39,                 2.5421,                 1.3942,                 1.4438,                0.54832,                0.17554,                0.16524,                 0.0667,                 2.4295,                 2.2133,                 1.6785,               0.006238,               0.006238,               0.006238
                     40,                 2.4685,                 1.4101,                 1.4696,                0.26082,                0.20365,                0.19373,                0.07389,                 2.5079,                 2.2432,                 1.6191,               0.006139,               0.006139,               0.006139
