                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.712,                  2.818,                 3.2811,                0.08892,                0.24228,                 0.0623,                0.01785,                 3.0993,                 2.7947,                 3.1623,               0.070136,              0.0033182,              0.0033182
                      1,                 2.7961,                  2.303,                 2.6195,                0.33934,                0.34089,                 0.2441,                0.09486,                 2.3371,                 2.2208,                 2.4377,               0.040071,              0.0065857,              0.0065857
                      2,                 2.3128,                 2.0129,                 2.2214,                0.35529,                0.40525,                0.32092,                0.13894,                  2.014,                 1.9669,                 2.1623,              0.0099387,              0.0097871,              0.0097871
                      3,                  2.119,                 1.8613,                 2.0473,                0.44017,                0.47045,                0.40746,                0.18371,                 1.8773,                 1.8185,                  2.016,               0.009703,               0.009703,               0.009703
                      4,                 1.9962,                 1.7393,                 1.9234,                0.52207,                0.49902,                0.48949,                0.23403,                  1.827,                 1.7012,                  1.938,               0.009703,               0.009703,               0.009703
                      5,                 1.9085,                  1.651,                 1.8726,                0.52459,                0.51771,                0.49201,                0.24136,                 1.7373,                 1.6381,                 1.8841,               0.009604,               0.009604,               0.009604
                      6,                 1.8712,                 1.5819,                 1.8332,                0.53348,                0.50937,                0.48487,                0.23659,                 1.7529,                 1.6414,                  1.879,               0.009505,               0.009505,               0.009505
                      7,                 1.8274,                 1.5133,                 1.7872,                0.54481,                0.48956,                0.50894,                0.24567,                 1.8082,                 1.6023,                 1.8909,               0.009406,               0.009406,               0.009406
                      8,                 1.7877,                 1.4665,                 1.7648,                0.62449,                0.57589,                 0.6212,                0.32067,                 1.6623,                 1.3682,                 1.8102,               0.009307,               0.009307,               0.009307
                      9,                 1.7725,                 1.4233,                 1.7453,                0.60197,                0.59404,                0.61719,                0.32432,                 1.6296,                 1.3761,                 1.7829,               0.009208,               0.009208,               0.009208
                     10,                 1.7503,                 1.3955,                 1.7316,                 0.6564,                0.62175,                0.66891,                0.35451,                 1.6126,                 1.2876,                 1.7585,               0.009109,               0.009109,               0.009109
                     11,                 1.7276,                 1.3546,                 1.7165,                0.66403,                0.64199,                0.68327,                0.36918,                 1.5697,                 1.2399,                 1.7354,                0.00901,                0.00901,                0.00901
                     12,                 1.7129,                 1.3318,                 1.6985,                0.65285,                0.61973,                0.66509,                0.35723,                 1.5845,                 1.2623,                 1.7432,               0.008911,               0.008911,               0.008911
                     13,                 1.6909,                 1.2991,                 1.6833,                 0.6909,                0.65775,                0.71189,                0.38779,                 1.5671,                 1.2035,                  1.723,               0.008812,               0.008812,               0.008812
                     14,                 1.6801,                 1.2744,                 1.6648,                0.65938,                0.63196,                  0.671,                0.36441,                 1.5637,                 1.2462,                 1.7156,               0.008713,               0.008713,               0.008713
                     15,                   1.66,                 1.2585,                 1.6558,                0.69243,                 0.6675,                0.72212,                0.39989,                 1.5383,                 1.1432,                 1.7026,               0.008614,               0.008614,               0.008614
                     16,                 1.6518,                 1.2441,                 1.6563,                0.69204,                0.67459,                 0.7211,                0.39959,                 1.5317,                 1.1513,                 1.6917,               0.008515,               0.008515,               0.008515
                     17,                 1.6518,                 1.2287,                 1.6416,                0.71087,                0.67592,                0.73556,                0.41076,                 1.5221,                 1.1173,                 1.6813,               0.008416,               0.008416,               0.008416
                     18,                 1.6336,                 1.2078,                 1.6359,                0.71459,                 0.6816,                0.74104,                0.41213,                 1.5249,                 1.0984,                 1.6808,               0.008317,               0.008317,               0.008317
                     19,                 1.6247,                 1.1928,                 1.6247,                0.69686,                0.67559,                0.72767,                0.41038,                 1.4951,                 1.1302,                 1.6544,               0.008218,               0.008218,               0.008218
                     20,                 1.6228,                 1.1928,                 1.6287,                0.70857,                0.69022,                0.74435,                 0.4211,                 1.4843,                 1.1029,                 1.6537,               0.008119,               0.008119,               0.008119
                     21,                 1.6107,                 1.1759,                 1.6165,                0.71805,                0.68812,                  0.746,                0.42163,                 1.4893,                 1.1019,                  1.651,                0.00802,                0.00802,                0.00802
                     22,                 1.5901,                 1.1561,                  1.609,                0.70352,                0.68508,                 0.7387,                0.41719,                 1.4906,                 1.1191,                 1.6553,               0.007921,               0.007921,               0.007921
                     23,                 1.6016,                 1.1536,                 1.6066,                0.71725,                0.68902,                0.74506,                0.42421,                 1.4834,                 1.0842,                 1.6443,               0.007822,               0.007822,               0.007822
                     24,                 1.5875,                 1.1426,                 1.5961,                0.72121,                0.69532,                0.75114,                0.42609,                 1.4871,                 1.0734,                 1.6413,               0.007723,               0.007723,               0.007723
                     25,                 1.5863,                 1.1428,                 1.5948,                0.72901,                0.70288,                0.76397,                0.43696,                 1.4681,                 1.0503,                 1.6315,               0.007624,               0.007624,               0.007624
                     26,                 1.5788,                 1.1274,                  1.587,                0.71754,                0.70683,                0.75471,                0.43008,                 1.4879,                  1.059,                 1.6446,               0.007525,               0.007525,               0.007525
                     27,                 1.5707,                 1.1158,                 1.5835,                0.72847,                0.70729,                0.76265,                0.43663,                 1.4708,                 1.0343,                 1.6283,               0.007426,               0.007426,               0.007426
                     28,                 1.5635,                  1.105,                 1.5752,                0.73047,                0.70358,                0.75827,                0.43644,                 1.4638,                 1.0428,                 1.6237,               0.007327,               0.007327,               0.007327
                     29,                 1.5684,                 1.1105,                 1.5774,                0.72901,                0.69736,                 0.7569,                0.43696,                  1.463,                 1.0514,                 1.6206,               0.007228,               0.007228,               0.007228
                     30,                 1.5552,                 1.0976,                 1.5651,                0.73053,                0.71238,                0.76754,                 0.4423,                 1.4629,                 1.0336,                  1.619,               0.007129,               0.007129,               0.007129
                     31,                  1.558,                 1.0942,                  1.569,                 0.7282,                0.71593,                 0.7711,                0.44691,                 1.4475,                 1.0249,                 1.6111,                0.00703,                0.00703,                0.00703
                     32,                 1.5519,                 1.0891,                 1.5663,                0.72638,                0.70667,                0.76193,                0.44205,                 1.4522,                 1.0179,                 1.6091,               0.006931,               0.006931,               0.006931
                     33,                 1.5506,                  1.085,                  1.562,                0.73912,                0.71187,                0.77492,                0.44889,                 1.4492,                 1.0193,                 1.6067,               0.006832,               0.006832,               0.006832
                     34,                 1.5506,                 1.0873,                 1.5707,                0.73033,                0.72128,                0.77563,                0.45001,                 1.4534,                 1.0126,                 1.6074,               0.006733,               0.006733,               0.006733
                     35,                 1.5455,                  1.075,                 1.5623,                0.72818,                0.71607,                0.77035,                0.44725,                 1.4505,                 1.0149,                 1.6056,               0.006634,               0.006634,               0.006634
                     36,                 1.5333,                 1.0634,                  1.551,                0.73834,                0.71788,                0.77491,                0.45112,                 1.4471,                 1.0026,                 1.6039,               0.006535,               0.006535,               0.006535
                     37,                  1.541,                 1.0681,                 1.5542,                0.73056,                0.71245,                0.76758,                0.44434,                 1.4536,                 1.0213,                  1.607,               0.006436,               0.006436,               0.006436
                     38,                 1.5289,                 1.0634,                 1.5585,                0.73549,                0.72654,                0.78081,                  0.454,                 1.4489,                0.99655,                  1.598,               0.006337,               0.006337,               0.006337
                     39,                 1.5352,                 1.0627,                 1.5549,                 0.7468,                0.72624,                0.78628,                0.46024,                  1.433,                0.98414,                 1.5884,               0.006238,               0.006238,               0.006238
                     40,                 1.5266,                 1.0538,                 1.5479,                0.73276,                0.72713,                0.77752,                0.45117,                 1.4493,                 1.0102,                 1.5987,               0.006139,               0.006139,               0.006139
                     41,                 1.5325,                 1.0512,                 1.5361,                0.73785,                0.72598,                0.78082,                0.45847,                 1.4275,                0.98146,                 1.5893,                0.00604,                0.00604,                0.00604
                     42,                 1.5179,                 1.0398,                 1.5294,                0.73675,                0.72362,                0.78273,                0.45809,                 1.4331,                0.99577,                 1.5857,               0.005941,               0.005941,               0.005941
                     43,                 1.5201,                 1.0426,                 1.5419,                0.75083,                0.72324,                0.78606,                0.45852,                 1.4332,                 0.9907,                 1.5879,               0.005842,               0.005842,               0.005842
                     44,                 1.5192,                 1.0429,                 1.5447,                0.72257,                0.71557,                0.76293,                0.44329,                 1.4507,                 1.0328,                  1.598,               0.005743,               0.005743,               0.005743
                     45,                 1.5166,                 1.0335,                 1.5382,                0.73901,                0.72746,                0.78266,                0.46068,                 1.4272,                0.97887,                 1.5835,               0.005644,               0.005644,               0.005644
                     46,                 1.5169,                 1.0358,                 1.5374,                0.74275,                0.73147,                0.78457,                0.45897,                 1.4307,                0.99409,                 1.5848,               0.005545,               0.005545,               0.005545
                     47,                 1.5109,                 1.0255,                 1.5328,                0.74215,                0.72712,                0.78764,                0.46258,                 1.4254,                0.97815,                 1.5824,               0.005446,               0.005446,               0.005446
                     48,                 1.5055,                 1.0289,                 1.5318,                 0.7468,                0.73141,                0.78843,                0.46595,                 1.4169,                0.95564,                 1.5734,               0.005347,               0.005347,               0.005347
                     49,                 1.4981,                 1.0172,                 1.5291,                0.73916,                0.72888,                0.78369,                0.46284,                 1.4207,                0.96835,                 1.5803,               0.005248,               0.005248,               0.005248
                     50,                 1.5017,                 1.0252,                 1.5267,                0.74507,                0.73546,                0.79038,                0.46369,                 1.4296,                0.96101,                 1.5807,               0.005149,               0.005149,               0.005149
                     51,                 1.4982,                 1.0136,                 1.5214,                0.74003,                0.72348,                0.77696,                0.45754,                 1.4339,                0.98552,                 1.5837,                0.00505,                0.00505,                0.00505
                     52,                 1.5044,                 1.0152,                  1.524,                0.74082,                 0.7331,                 0.7879,                0.46626,                 1.4161,                0.96223,                 1.5709,               0.004951,               0.004951,               0.004951
                     53,                 1.4997,                 1.0113,                  1.523,                0.73798,                0.73489,                0.78389,                0.46287,                  1.424,                0.97015,                 1.5736,               0.004852,               0.004852,               0.004852
                     54,                 1.4898,                 1.0049,                 1.5128,                0.75209,                0.73118,                0.79167,                0.46642,                 1.4254,                0.96359,                 1.5745,               0.004753,               0.004753,               0.004753
                     55,                 1.5057,                 1.0229,                 1.5317,                0.75104,                0.73487,                0.79333,                0.46808,                 1.4191,                0.95155,                 1.5678,               0.004654,               0.004654,               0.004654
                     56,                 1.4866,                0.99929,                 1.5199,                0.74869,                0.73446,                0.79356,                 0.4697,                 1.4171,                0.94978,                 1.5709,               0.004555,               0.004555,               0.004555
                     57,                 1.4881,                 1.0041,                 1.5195,                0.74877,                0.73546,                0.79258,                0.46973,                 1.4107,                0.95765,                 1.5687,               0.004456,               0.004456,               0.004456
                     58,                 1.4907,                0.99641,                 1.5111,                0.75114,                0.73824,                0.79451,                 0.4698,                 1.4161,                0.94897,                 1.5685,               0.004357,               0.004357,               0.004357
                     59,                 1.4893,                0.99459,                  1.513,                0.75238,                0.74183,                 0.7978,                0.47432,                 1.4083,                 0.9438,                 1.5593,               0.004258,               0.004258,               0.004258
                     60,                 1.4911,                0.99706,                 1.5143,                0.74749,                0.74308,                0.79788,                0.47315,                 1.4155,                0.93486,                 1.5664,               0.004159,               0.004159,               0.004159
                     61,                 1.4875,                0.99661,                 1.5087,                0.74876,                0.74786,                0.79938,                0.47414,                 1.4114,                0.93945,                 1.5649,                0.00406,                0.00406,                0.00406
                     62,                 1.4862,                0.99271,                 1.5109,                0.75698,                0.73806,                0.79886,                0.47295,                 1.4174,                0.93655,                 1.5649,               0.003961,               0.003961,               0.003961
                     63,                 1.4824,                0.97519,                 1.5001,                0.75326,                0.73753,                 0.7958,                0.47209,                 1.4123,                0.93371,                 1.5618,               0.003862,               0.003862,               0.003862
                     64,                 1.4768,                0.98439,                 1.5084,                0.75092,                0.74045,                0.79666,                0.47066,                 1.4226,                0.94497,                 1.5699,               0.003763,               0.003763,               0.003763
                     65,                 1.4766,                0.97915,                 1.5067,                 0.7509,                0.74432,                0.79822,                0.47415,                 1.4096,                0.94004,                 1.5588,               0.003664,               0.003664,               0.003664
                     66,                 1.4815,                0.98516,                 1.5068,                0.74956,                0.74605,                0.80031,                0.47612,                 1.4091,                0.93239,                 1.5586,               0.003565,               0.003565,               0.003565
                     67,                 1.4722,                 0.9742,                  1.501,                0.75283,                0.74168,                0.79842,                0.47328,                 1.4149,                0.93146,                 1.5616,               0.003466,               0.003466,               0.003466
                     68,                 1.4732,                0.98245,                 1.5091,                0.74801,                0.74325,                0.79727,                0.47328,                 1.4127,                0.94009,                 1.5601,               0.003367,               0.003367,               0.003367
                     69,                 1.4783,                0.97213,                 1.4965,                0.75287,                0.74723,                0.80306,                0.47533,                 1.4159,                0.92789,                 1.5631,               0.003268,               0.003268,               0.003268
                     70,                 1.4789,                0.97354,                 1.4957,                0.74852,                0.74868,                0.80023,                0.47576,                 1.4104,                0.93295,                 1.5593,               0.003169,               0.003169,               0.003169
                     71,                 1.4649,                0.96262,                 1.4908,                0.75154,                0.74267,                 0.7983,                0.47393,                 1.4122,                0.93478,                 1.5579,                0.00307,                0.00307,                0.00307
                     72,                 1.4697,                0.96759,                 1.4959,                0.74935,                0.74719,                0.80052,                0.47581,                 1.4135,                 0.9322,                  1.561,               0.002971,               0.002971,               0.002971
                     73,                 1.4575,                0.95389,                 1.4854,                0.75036,                0.74949,                0.80068,                0.47605,                 1.4041,                0.92623,                  1.554,               0.002872,               0.002872,               0.002872
                     74,                  1.466,                0.95606,                 1.4901,                0.74818,                0.74834,                0.79972,                0.47429,                 1.4141,                0.93378,                 1.5612,               0.002773,               0.002773,               0.002773
                     75,                 1.4689,                0.96742,                 1.4914,                0.74981,                0.74923,                0.80193,                0.47627,                 1.4105,                0.92617,                 1.5566,               0.002674,               0.002674,               0.002674
                     76,                 1.4648,                0.96622,                 1.5002,                0.75838,                0.74837,                0.80554,                0.47935,                 1.4088,                0.91847,                 1.5554,               0.002575,               0.002575,               0.002575
                     77,                  1.465,                0.96334,                  1.496,                0.75711,                0.74552,                0.80282,                0.47781,                 1.4078,                0.92087,                  1.554,               0.002476,               0.002476,               0.002476
                     78,                 1.4651,                0.95929,                 1.4947,                0.75285,                0.74706,                 0.8031,                0.47768,                 1.4083,                0.92906,                 1.5552,               0.002377,               0.002377,               0.002377
                     79,                 1.4554,                0.95336,                 1.4938,                0.75573,                0.74597,                0.80351,                0.47918,                 1.4033,                0.91867,                 1.5552,               0.002278,               0.002278,               0.002278
                     80,                 1.4552,                0.95396,                 1.4971,                0.75734,                 0.7484,                0.80325,                0.48038,                 1.4006,                0.91775,                 1.5516,               0.002179,               0.002179,               0.002179
                     81,                  1.455,                 0.9527,                 1.4859,                 0.7594,                0.75037,                0.80692,                0.48081,                 1.4054,                0.91073,                 1.5546,                0.00208,                0.00208,                0.00208
                     82,                 1.4558,                0.95218,                 1.4881,                0.75849,                0.74849,                0.80699,                0.48151,                 1.4031,                0.91336,                 1.5514,               0.001981,               0.001981,               0.001981
                     83,                  1.455,                0.94429,                 1.4877,                0.75259,                   0.75,                0.80235,                0.47842,                  1.403,                0.91898,                 1.5517,               0.001882,               0.001882,               0.001882
                     84,                 1.4588,                0.95258,                 1.4887,                0.75759,                0.75141,                0.80641,                0.48261,                 1.4004,                0.91178,                 1.5496,               0.001783,               0.001783,               0.001783
                     85,                 1.4572,                0.94536,                 1.4828,                0.75268,                0.74942,                0.80541,                0.48008,                 1.4071,                0.91728,                 1.5532,               0.001684,               0.001684,               0.001684
                     86,                 1.4504,                 0.9474,                 1.4916,                0.75461,                0.75006,                 0.8049,                0.48095,                 1.4021,                 0.9106,                 1.5493,               0.001585,               0.001585,               0.001585
                     87,                 1.4535,                0.94451,                  1.484,                0.76061,                0.75058,                0.80845,                0.48252,                 1.4021,                0.90819,                 1.5507,               0.001486,               0.001486,               0.001486
                     88,                 1.4472,                0.93901,                 1.4805,                0.76139,                0.75016,                0.80793,                0.48233,                 1.4012,                0.91121,                 1.5475,               0.001387,               0.001387,               0.001387
