                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7167,                 1.5362,                 1.7839,                0.20193,                0.08506,                0.08644,                0.03237,                 2.6794,                 3.1791,                 1.6975,                 0.0856,                 0.0016,                 0.0016
                      1,                 2.4009,                 1.2821,                 1.4494,                0.27474,                0.17095,                0.15647,                 0.0548,                 2.8118,                  3.072,                 1.8117,               0.070267,              0.0032673,              0.0032673
                      2,                 2.3149,                 1.2186,                 1.3934,                0.24686,                0.20547,                0.19502,                0.07015,                 2.7889,                  2.399,                 1.8382,               0.054901,               0.004901,               0.004901
                      3,                 2.2031,                 1.1662,                 1.3413,                0.27459,                0.26325,                0.23476,                0.09474,                  2.488,                 1.5373,                 1.5792,               0.039501,               0.006501,               0.006501
                      4,                 2.2047,                 1.1672,                 1.3559,                0.28426,                0.25127,                0.22152,                0.08608,                 2.4216,                 1.4903,                 1.5505,               0.024067,              0.0080674,              0.0080674
                      5,                 2.2145,                  1.155,                 1.3319,                0.31357,                0.25403,                0.24687,                 0.0891,                 2.6986,                 1.8259,                 1.6043,               0.009505,               0.009505,               0.009505
                      6,                 2.1899,                 1.1375,                 1.3194,                0.32073,                0.25477,                0.24914,                0.09728,                 2.2207,                 1.4886,                 1.4608,               0.009505,               0.009505,               0.009505
                      7,                 2.1867,                 1.1132,                 1.3031,                0.36006,                0.28514,                0.28022,                0.10505,                 2.4097,                 1.5516,                 1.5205,               0.009406,               0.009406,               0.009406
                      8,                 2.1227,                 1.1173,                 1.3028,                0.37269,                0.27808,                0.28802,                0.10811,                  2.344,                 1.5837,                 1.4997,               0.009307,               0.009307,               0.009307
                      9,                 2.1017,                 1.1099,                 1.2982,                0.33046,                 0.2691,                0.26631,                0.10399,                 2.2849,                 1.6545,                 1.4792,               0.009208,               0.009208,               0.009208
                     10,                 2.1026,                 1.1222,                 1.3187,                0.30307,                0.27284,                0.25443,                0.10001,                 2.2464,                 1.4796,                 1.4686,               0.009109,               0.009109,               0.009109
                     11,                 2.1444,                 1.0996,                   1.28,                0.38625,                0.29825,                0.30444,                  0.124,                 2.2211,                 1.5031,                 1.4622,                0.00901,                0.00901,                0.00901
                     12,                 2.1218,                 1.0948,                 1.2883,                0.36645,                0.27065,                   0.28,                0.11114,                 2.0692,                 1.3381,                 1.3687,               0.008911,               0.008911,               0.008911
                     13,                   2.09,                  1.093,                 1.2636,                0.38102,                0.28762,                0.29744,                0.12243,                  2.133,                 1.3984,                 1.3991,               0.008812,               0.008812,               0.008812
                     14,                 2.0957,                 1.0886,                 1.2722,                0.35758,                0.29465,                0.28947,                0.12198,                 2.0569,                 1.3358,                  1.384,               0.008713,               0.008713,               0.008713
                     15,                 2.0929,                  1.095,                 1.2856,                0.36756,                0.29082,                  0.294,                0.12317,                 2.0505,                 1.3502,                 1.3582,               0.008614,               0.008614,               0.008614
                     16,                 2.0909,                  1.083,                  1.274,                0.36922,                0.29442,                0.29745,                0.11402,                 2.0537,                 1.3162,                 1.3321,               0.008515,               0.008515,               0.008515
                     17,                 2.0434,                 1.0721,                 1.2445,                0.36767,                0.29815,                0.29633,                0.11839,                 2.1094,                 1.3873,                 1.3791,               0.008416,               0.008416,               0.008416
                     18,                 2.0435,                 1.0639,                  1.276,                0.34713,                0.29455,                0.28773,                0.11365,                 2.1503,                 1.3533,                 1.3861,               0.008317,               0.008317,               0.008317
                     19,                 2.0551,                 1.0555,                 1.2483,                  0.333,                0.30209,                0.29038,                0.12395,                 1.9808,                 1.3246,                 1.3495,               0.008218,               0.008218,               0.008218
                     20,                 2.0395,                 1.0583,                  1.263,                0.34974,                0.29266,                0.28649,                0.12208,                 2.0503,                 1.4964,                  1.393,               0.008119,               0.008119,               0.008119
                     21,                 2.0553,                  1.077,                 1.2732,                0.38671,                0.29798,                0.30373,                0.13061,                 1.9697,                 1.3318,                 1.3032,                0.00802,                0.00802,                0.00802
                     22,                 1.9996,                 1.0468,                 1.2525,                0.37178,                0.28456,                 0.2892,                0.11623,                 1.9781,                 1.2868,                 1.2936,               0.007921,               0.007921,               0.007921
                     23,                 2.0371,                 1.0528,                  1.237,                0.38986,                0.31283,                0.30867,                0.13449,                 2.0426,                 1.3055,                 1.3604,               0.007822,               0.007822,               0.007822
                     24,                 1.9604,                  1.061,                 1.2616,                0.37619,                0.30338,                0.30411,                0.12324,                 2.0853,                 1.2824,                 1.3329,               0.007723,               0.007723,               0.007723
                     25,                 1.9486,                 1.0292,                 1.2465,                0.41345,                0.30609,                0.30642,                0.13762,                 2.0245,                 1.3053,                 1.3838,               0.007624,               0.007624,               0.007624
                     26,                  1.962,                 1.0333,                 1.2498,                0.38204,                 0.3216,                0.31452,                0.13797,                 2.1191,                 1.2846,                 1.4176,               0.007525,               0.007525,               0.007525
                     27,                 2.0009,                 1.0281,                 1.2436,                0.39612,                0.30776,                0.30259,                0.13078,                 2.0462,                 1.2367,                 1.3785,               0.007426,               0.007426,               0.007426
                     28,                 1.9718,                 1.0233,                  1.218,                0.37582,                0.32039,                0.31592,                  0.139,                 2.0492,                 1.3062,                 1.3909,               0.007327,               0.007327,               0.007327
                     29,                 1.9645,                 1.0286,                 1.2461,                0.40509,                0.30447,                0.30907,                0.13106,                 1.9447,                 1.2988,                 1.3084,               0.007228,               0.007228,               0.007228
                     30,                 1.9494,                 1.0349,                 1.2499,                0.35838,                0.31216,                0.30725,                0.12796,                 2.0577,                 1.3813,                 1.3717,               0.007129,               0.007129,               0.007129
                     31,                 1.9612,                 1.0093,                 1.2311,                0.37678,                0.33153,                0.32419,                0.13468,                 2.1909,                 1.3556,                 1.4101,                0.00703,                0.00703,                0.00703
                     32,                 1.9925,                 1.0356,                 1.1992,                0.36074,                0.32136,                0.31534,                0.13095,                 2.2092,                 1.3798,                 1.3724,               0.006931,               0.006931,               0.006931
                     33,                 1.9637,                 1.0119,                 1.2254,                0.41114,                0.31751,                 0.3319,                0.14452,                  1.976,                 1.2393,                 1.3395,               0.006832,               0.006832,               0.006832
                     34,                 1.9613,                 1.0246,                 1.2414,                0.39342,                0.30836,                0.31265,                0.13434,                 1.9841,                 1.2546,                 1.3426,               0.006733,               0.006733,               0.006733
                     35,                 1.9588,                 1.0105,                 1.2167,                0.38893,                0.31162,                0.31552,                 0.1319,                 2.0532,                 1.3108,                 1.3631,               0.006634,               0.006634,               0.006634
                     36,                 1.9883,                 1.0188,                 1.2095,                0.39532,                0.32496,                 0.3224,                0.14042,                 1.9216,                 1.2529,                 1.3277,               0.006535,               0.006535,               0.006535
                     37,                 1.9406,                 1.0009,                 1.2249,                0.39724,                0.30653,                0.30968,                0.13687,                 1.9541,                 1.2584,                 1.3499,               0.006436,               0.006436,               0.006436
                     38,                 1.9692,                 1.0152,                 1.2341,                0.40173,                0.32428,                0.31946,                 0.1383,                 1.9566,                 1.1846,                 1.3368,               0.006337,               0.006337,               0.006337
                     39,                 1.9586,                 1.0039,                 1.2123,                0.38923,                0.32515,                0.32258,                0.14579,                 1.8939,                 1.2079,                 1.3042,               0.006238,               0.006238,               0.006238
                     40,                 1.9001,                 1.0006,                 1.2324,                 0.3658,                0.32214,                0.31733,                0.14117,                 1.8715,                 1.2234,                 1.3055,               0.006139,               0.006139,               0.006139
                     41,                  1.964,                0.99191,                 1.1963,                0.36725,                0.32061,                0.31302,                0.14029,                 1.9325,                 1.3057,                 1.3086,                0.00604,                0.00604,                0.00604
                     42,                 1.9002,                0.99194,                 1.2173,                0.41848,                0.31218,                 0.3239,                0.14703,                 1.8851,                 1.2875,                 1.3132,               0.005941,               0.005941,               0.005941
                     43,                 1.9471,                0.99717,                 1.2152,                0.41918,                0.30775,                0.32119,                0.14089,                 1.9809,                 1.3627,                 1.3357,               0.005842,               0.005842,               0.005842
                     44,                 1.9012,                 0.9833,                 1.2091,                0.42268,                0.30958,                0.32342,                0.14651,                 2.0232,                  1.285,                 1.3821,               0.005743,               0.005743,               0.005743
                     45,                 1.9333,                0.99374,                 1.2076,                0.41343,                0.31693,                0.32734,                0.14178,                 2.0123,                 1.2829,                 1.3697,               0.005644,               0.005644,               0.005644
                     46,                 1.9149,                0.98143,                 1.2025,                 0.4017,                 0.3246,                0.33368,                0.14749,                 2.0082,                 1.2408,                 1.3811,               0.005545,               0.005545,               0.005545
                     47,                 1.9421,                0.99962,                 1.1995,                0.41636,                0.31344,                0.33455,                 0.1464,                 1.9809,                 1.2221,                 1.3363,               0.005446,               0.005446,               0.005446
