                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7218,                 2.8233,                 3.2788,                0.38154,                0.13251,                0.06619,                0.01739,                 3.1882,                 3.1093,                 3.2455,               0.070136,              0.0033182,              0.0033182
                      1,                 2.8329,                 2.3225,                 2.6393,                0.29487,                 0.3067,                0.20289,                0.07391,                 2.5062,                 2.3293,                 2.5406,               0.040071,              0.0065857,              0.0065857
                      2,                 2.3266,                 2.0157,                 2.2285,                0.36435,                 0.4276,                0.34145,                0.14227,                 2.0635,                 1.9971,                 2.1752,              0.0099387,              0.0097871,              0.0097871
                      3,                 2.1242,                 1.8547,                 2.0486,                0.35583,                0.35523,                0.28219,                0.12146,                  2.077,                 2.2483,                 2.1071,               0.009703,               0.009703,               0.009703
                      4,                 2.0047,                 1.7318,                 1.9248,                 0.4586,                0.47192,                0.42361,                0.19856,                 1.8811,                 1.8612,                  1.966,               0.009703,               0.009703,               0.009703
                      5,                 1.9092,                 1.6424,                 1.8681,                0.54353,                 0.5427,                0.52532,                0.25967,                 1.7303,                 1.5742,                 1.8741,               0.009604,               0.009604,               0.009604
                      6,                  1.872,                 1.5791,                   1.83,                0.57458,                0.54732,                0.56366,                0.28318,                 1.7152,                 1.5002,                  1.848,               0.009505,               0.009505,               0.009505
                      7,                 1.8314,                 1.5109,                 1.7854,                0.59994,                0.57173,                0.58919,                0.29697,                 1.6888,                 1.4444,                  1.825,               0.009406,               0.009406,               0.009406
                      8,                 1.7861,                 1.4669,                 1.7601,                0.64387,                 0.6016,                0.64787,                0.33924,                 1.6335,                 1.3196,                 1.7797,               0.009307,               0.009307,               0.009307
                      9,                 1.7734,                 1.4238,                 1.7411,                0.61537,                0.60477,                0.62998,                0.33363,                 1.5977,                  1.345,                 1.7571,               0.009208,               0.009208,               0.009208
                     10,                 1.7528,                 1.4022,                 1.7291,                0.62964,                0.57182,                0.60648,                0.31716,                 1.6814,                 1.3767,                 1.7934,               0.009109,               0.009109,               0.009109
                     11,                 1.7254,                 1.3561,                 1.7101,                0.66726,                0.64254,                0.68434,                0.36932,                 1.5619,                  1.239,                 1.7212,                0.00901,                0.00901,                0.00901
                     12,                  1.715,                 1.3363,                 1.6946,                0.68806,                0.64525,                0.69935,                0.38179,                 1.5494,                 1.1959,                  1.709,               0.008911,               0.008911,               0.008911
                     13,                 1.6914,                 1.3084,                 1.6785,                0.69895,                0.66648,                0.72107,                0.39677,                 1.5445,                 1.1633,                 1.7048,               0.008812,               0.008812,               0.008812
                     14,                 1.6829,                  1.278,                 1.6618,                0.68533,                0.65209,                 0.7025,                0.38377,                 1.5526,                 1.1899,                 1.7011,               0.008713,               0.008713,               0.008713
                     15,                 1.6608,                 1.2638,                 1.6521,                0.69675,                0.67486,                0.72517,                0.40163,                 1.5334,                 1.1419,                 1.6936,               0.008614,               0.008614,               0.008614
                     16,                 1.6505,                 1.2478,                 1.6505,                0.70294,                 0.6773,                0.72956,                0.40334,                 1.5339,                 1.1239,                 1.6898,               0.008515,               0.008515,               0.008515
                     17,                 1.6529,                 1.2331,                 1.6378,                0.71108,                0.66999,                0.73059,                0.40624,                 1.5265,                 1.1287,                 1.6744,               0.008416,               0.008416,               0.008416
                     18,                 1.6351,                 1.2143,                 1.6318,                0.71661,                 0.6841,                0.73996,                0.41257,                 1.5125,                 1.1008,                 1.6651,               0.008317,               0.008317,               0.008317
                     19,                 1.6255,                 1.1973,                 1.6208,                0.70525,                0.68183,                0.73527,                0.41395,                 1.4895,                 1.1119,                 1.6446,               0.008218,               0.008218,               0.008218
                     20,                 1.6217,                 1.1976,                 1.6228,                0.68161,                0.66907,                0.71678,                0.40043,                 1.5029,                 1.1605,                 1.6603,               0.008119,               0.008119,               0.008119
                     21,                 1.6121,                 1.1828,                  1.613,                0.71472,                0.69186,                  0.747,                0.41931,                 1.5025,                  1.086,                 1.6555,                0.00802,                0.00802,                0.00802
                     22,                 1.5915,                  1.161,                 1.6047,                0.71604,                0.68724,                0.74587,                0.42191,                 1.4927,                 1.0698,                 1.6492,               0.007921,               0.007921,               0.007921
